timestamp_local,current_mA,bus_V,shunt_mV,power_mW,energy_J,charge_C,temperature_C,,,,,,,,,,,,,,,
2026-04-30T14:15:36,-0.04,0,0,0,0,0,21.55,,,,,,,,,,,,,,,
2026-04-30T14:15:37,-0.02,0,0,0,0,0,21.54,,,,,,,,,,,,,,,
2026-04-30T14:15:38,-0.06,0,0,0,0,0,21.54,,,,,,,,,,,,,,,
2026-04-30T14:15:39,-0.13,0,0,0,0,0,21.54,,,,,,,,,,,,,,,
2026-04-30T14:15:40,-0.13,0,0,0,0,0,21.54,,,,,,,,,,,,,,,
2026-04-30T14:15:41,-0.04,0,0,0,0,0,21.53,,,,,,,,,,,,,,,
2026-04-30T14:15:42,-0.11,0,0,0,0,0,21.54,,,,,,,,,,,,,,,
2026-04-30T14:15:43,0.06,0,0,0,0,0,21.55,,,,,,,,,,,,,,,
2026-04-30T14:15:44,-0.23,0,0,0,0,0,21.55,,,,,,,,,,,,,,,
2026-04-30T14:15:45,-0.02,0,0,0,0,0,21.56,,,,,,,,,,,,,,,
2026-04-30T14:15:46,0.02,0,0,0,0,0,21.57,,,,,Buck Converter Powering,,,,,,Linear Regulator Powering,,,,
2026-04-30T14:15:47,-0.11,0,0,0,0,0,21.57,,,,,,,,,,,,,,,
2026-04-30T14:15:48,-0.08,0,0,0,0,0,21.57,,,,,,State,Time (s),Current Avg (mA),Average mW,,,State,Time (s),Current Avg (mA),Average mW
2026-04-30T14:15:49,92.37,12.2,1.39,1127.26,0.77,0.07,21.57,1,,257.1894355,,Opening,1,10,1144.928,11449.28,,Opening,1,10,3434.784,34347.84
2026-04-30T14:15:50,80.91,12.2,1.21,987,1.85,0.16,21.57,1,,,,Fan only,2,30,413.9207143,12417.62143,,Fan only,2,30,1241.762143,37252.86429
2026-04-30T14:15:51,1140.9,7.34,17.11,8366.33,5.03,0.58,21.57,1,,,,Closing,3,10,856.244,8562.44,,Closing,3,10,2568.732,25687.32
2026-04-30T14:15:52,1145.59,10.33,17.18,11826.78,15.66,1.74,21.58,1,,,,Reading,4,300,94.34965517,28304.89655,,Reading,4,300,283.0489655,84914.68966
2026-04-30T14:15:53,1149.67,11.05,17.25,12700.68,28.18,2.9,21.6,1,,,,Sleep,5,3250,71.99266667,233976.1667,,Sleep,5,3250,10,32500
2026-04-30T14:15:54,1153.51,10.98,17.3,12663.82,40.91,4.06,21.62,1,,,,,,,,,,,,,,
2026-04-30T14:15:55,1148,10.95,17.27,12579.41,53.68,5.22,21.64,1,,,,,,,,,,,,,,
2026-04-30T14:15:56,1152.21,11.72,17.28,13505,66.83,6.38,21.67,1,,,,,,Average mA per hour ,81.86400129,,,,,Average mA per hour,59.63964276,
2026-04-30T14:15:57,1126.33,12.01,16.89,13532.23,80.54,7.54,21.7,1,,,,,,Battery life without sunlight with 30Ah 12V battery,~11 days,,,,,Inefficiency Scale,3,
2026-04-30T14:15:58,1150.95,12.05,17.26,13867.8,94.49,8.7,21.72,1,,,,,,,,,,,,,,
2026-04-30T14:15:59,1138.02,12.14,17.07,13813.35,108.43,9.84,21.73,1,,,,,,,,,,,,,,
2026-04-30T14:16:00,1144.1,12.14,16.57,13435.61,122.3,10.99,21.77,1,,,,,,,,,,,,,,
2026-04-30T14:16:01,374.09,12.19,5.61,4561.34,132.08,11.79,21.78,2,,,,,,,,,,,,,,
2026-04-30T14:16:02,347.21,12.19,5.21,4232.6,136.41,12.15,21.78,2,,,,,,,,,,,,,,
2026-04-30T14:16:03,389.04,12.19,5.84,4742.25,140.74,12.5,21.77,2,,,,,,,,,,,,,,
2026-04-30T14:16:04,324.12,12.19,4.86,3950.62,145.05,12.86,21.77,2,,,,,,,,,,,,,,
2026-04-30T14:16:05,349.43,12.19,5.24,4016.3,149.38,13.21,21.76,2,,,,,,,,,,,,,,
